,int.,,,,,,,,,
ID,CTL,24hr,6hr,3hr,,,,,,
PH_hs_0000324,574.8888889,402.7222222,393.1388889,352.6944444,,,,,,
PH_hs_0000325,1.62962963,1.083333333,1.333333333,1,,,,,,
PH_hs_0000326,212.0740741,205.6666667,234.5277778,213.1111111,,,,,,
PH_hs_0000327,878.1481481,942.9444444,895,1000.888889,,,,,,
PH_hs_0000328,149.8703704,120.8333333,74.22222222,83.55555556,,,,,,
PH_hs_0000329,87.40740741,106.6111111,62.44444444,52.61111111,,,,,,
PH_hs_0000330,13.77777778,12.72222222,11.5,13.72222222,,,,,,
PH_hs_0000331,4011.259259,3619.694444,4164.722222,4409.166667,,,,,,
PH_hs_0000332,505.3518519,159.5,265.5,325.5277778,,,,,,
PH_hs_0000333,197.0555556,280.6666667,248.5,337.0277778,,,,,,
PH_hs_0000334,1530.259259,1165.222222,1962.555556,1586.722222,,,,,,
PH_hs_0000335,697.2222222,665.8333333,510.8888889,525.0833333,,,,,,
PH_hs_0000336,1086.277778,750.0555556,593.3611111,547.8888889,,,,,,
PH_hs_0000337,299.3703704,417.9444444,272.6111111,199.8333333,,,,,,
PH_hs_0000338,19,13.88888889,26.72222222,23.77777778,,,,,,
PH_hs_0000339,135.0740741,68.44444444,64.72222222,79.38888889,,,,,,
PH_hs_0000340,10000.44444,6115.666667,6817.166667,6769.777778,,,,,,
PH_hs_0000341,127.462963,73.77777778,80.05555556,90.44444444,,,,,,
PH_hs_0000342,20.88888889,15.66666667,6.833333333,12,,,,,,
PH_hs_0000343,1.481481481,1.083333333,2.388888889,0.388888889,,,,,,
PH_hs_0000344,32.22222222,14.66666667,34.94444444,40.72222222,,,,,,
PH_hs_0000346,4.925925926,5.055555556,2.888888889,5.666666667,,,,,,
PH_hs_0000347,4.888888889,2.111111111,3.611111111,2.666666667,,,,,,
PH_hs_0000348,27.44444444,22.33333333,23.33333333,21.77777778,,,,,,
PH_hs_0000349,-0.37037037,0.75,2.388888889,1.944444444,,,,,,
PH_hs_0000350,0.37037037,0.944444444,0.833333333,1.944444444,,,,,,
PH_hs_0000352,1258.685185,1631.222222,2150.388889,2203.444444,,,,,,
PH_hs_0000353,397.8333333,342.0833333,428.8333333,400.4444444,,,,,,
PH_hs_0000354,760.8888889,564.6944444,581.8888889,366.7777778,,,,,,
PH_hs_0000355,130.4444444,139.1666667,115.5,133.1111111,,,,,,
PH_hs_0000356,31006.96296,33187.11111,24857.33333,24481.22222,,,,,,
PH_hs_0000357,22,18.72222222,21.5,18.22222222,,,,,,
PH_hs_0000358,26.51851852,37.44444444,33,44.16666667,,,,,,
PH_hs_0000361,210.3888889,159.0277778,301.1666667,259,,,,,,
PH_hs_0000362,6.888888889,4,6.833333333,5.5,,,,,,
PH_hs_0000363,106.8888889,98.33333333,57.05555556,66.38888889,,,,,,
PH_hs_0000364,21.7037037,16.83333333,19.5,12,,,,,,
PH_hs_0000365,6.592592593,4.388888889,6.833333333,2.666666667,,,,,,
PH_hs_0000366,314.2222222,198.6111111,136.1388889,102.3333333,,,,,,
PH_hs_0000367,6.259259259,6.388888889,7.222222222,5.666666667,,,,,,
PH_hs_0000368,544.7407407,641.4444444,525.6388889,492.3888889,,,,,,
PH_hs_0000369,1.481481481,1.083333333,1.333333333,3.166666667,,,,,,
PH_hs_0000370,7.888888889,6.666666667,7.222222222,3.888888889,,,,,,
PH_hs_0000371,40.77777778,27.33333333,19.5,24.61111111,,,,,,
PH_hs_0000372,5.148148148,1.666666667,2.944444444,1.944444444,,,,,,
PH_hs_0000373,4.925925926,6.805555556,7.333333333,6.333333333,,,,,,
PH_hs_0000374,123.6851852,238.4444444,189.6111111,178.8611111,,,,,,
PH_hs_0000376,74.31481481,58.61111111,73.88888889,60.94444444,,,,,,
PH_hs_0000377,5.37037037,4.388888889,4.611111111,3.888888889,,,,,,
PH_hs_0000378,68.51851852,50.77777778,63.61111111,70.38888889,,,,,,
PH_hs_0000379,10.51851852,16.33333333,13,7.777777778,,,,,,
PH_hs_0000380,5.592592593,5.111111111,4.444444444,3.888888889,,,,,,
PH_hs_0000381,4.518518519,2.111111111,3.888888889,1.333333333,,,,,,
PH_hs_0000382,41.22222222,28.55555556,42.94444444,61.38888889,,,,,,
PH_hs_0000383,106.7777778,121.6666667,88.63888889,101.2777778,,,,,,
PH_hs_0000384,231.5555556,260.8888889,393.7222222,350.9722222,,,,,,
PH_hs_0000385,46.7037037,58.77777778,66,68.72222222,,,,,,
PH_hs_0000386,1072.148148,1322.833333,1853.777778,2325.666667,,,,,,
PH_hs_0000388,6.851851852,3,5.444444444,5.666666667,,,,,,
PH_hs_0000389,446.0740741,436.1944444,476.8888889,615.6666667,,,,,,
PH_hs_0000390,12635.07407,7870.333333,8966.75,10149.72222,,,,,,
PH_hs_0000391,1166.648148,969.7222222,845.6388889,1130.527778,,,,,,
PH_hs_0000392,14.59259259,12.33333333,13.05555556,15.05555556,,,,,,
PH_hs_0000393,1820.407407,1735.527778,2383,2145.888889,,,,,,
PH_hs_0000394,167.5925926,85.77777778,115.75,156.1666667,,,,,,
PH_hs_0000395,8.814814815,12.5,7.666666667,9.277777778,,,,,,
PH_hs_0000396,281.1666667,448.9722222,381.1944444,373.5,,,,,,
PH_hs_0000397,3.925925926,4.111111111,2.888888889,7.277777778,,,,,,
PH_hs_0000398,8.62962963,8.5,7.666666667,7.277777778,,,,,,
