probe id,Control,0.25mg-6hr,0.25mg-24hr,0.25mg-48hr,0.50mg-6hr,0.50mg-24hr,0.50mg-48hr,,,,,,,,,,,,,,,,,,,
PH_hs_0000159,22.33333333,11.44444444,9.26984127,15.07936508,11.50793651,30.41269841,22.25396825,,,,,,,,,,,,,,,,,,,
PH_hs_0000160,54.44444444,36.87301587,59.41269841,58.61904762,81.15873016,74.25396825,129.984127,,,,,,,,,,,,,,,,,,,
PH_hs_0000161,143.8650794,68.76190476,62.1984127,113.4444444,76.88095238,92.50793651,59.55555556,,,,,,,,,,,,,,,,,,,
PH_hs_0000163,574.9920635,561.1746032,748.7142857,463.1428571,812.3968254,643.3174603,849.0873016,,,,,,,,,,,,,,,,,,,
PH_hs_0000165,4.698412698,3.849206349,4.46031746,3.73015873,4.793650794,13.41269841,5.349206349,,,,,,,,,,,,,,,,,,,
PH_hs_0000166,11.52380952,8.317460317,4.349206349,12.01587302,7.857142857,11.33333333,8.5,,,,,,,,,,,,,,,,,,,
PH_hs_0000167,14.15873016,14.00793651,14.14285714,19.47619048,13.1984127,11.20634921,13.49206349,,,,,,,,,,,,,,,,,,,
PH_hs_0000168,1045.087302,937.3015873,876.3650794,909.9285714,834.8253968,923.7539683,846.6031746,,,,,,,,,,,,,,,,,,,
PH_hs_0000169,759.3650794,671.6269841,593.1587302,568.3174603,624.4126984,675.984127,733.1746032,,,,,,,,,,,,,,,,,,,
PH_hs_0000170,15.33333333,14.61904762,15.04761905,21.27777778,25.26190476,28.33333333,27.86507937,,,,,,,,,,,,,,,,,,,
PH_hs_0000171,20.07936508,18.66666667,15.84126984,31.41269841,14.28571429,15.44444444,34.8015873,,,,,,,,,,,,,,,,,,,
PH_hs_0000172,9.26984127,12.01587302,8.603174603,15.25396825,7.476190476,7.753968254,15.26190476,,,,,,,,,,,,,,,,,,,
PH_hs_0000174,1.30952381,3.063492063,1.904761905,3.984126984,1.095238095,75.85714286,1.952380952,,,,,,,,,,,,,,,,,,,
PH_hs_0000175,39.50793651,33.52380952,32.25396825,37.3015873,25.77777778,23.92857143,29.21428571,,,,,,,,,,,,,,,,,,,
