name,geneID,1460_6hr,1460_24hr,1461_6hr,1461_24hr,1460_6hr_log2,1460_24hrlog2,1461_6hr_log2,1461_24hr_log2
KREMEN1,PH_hs_0047925,63.04166667,58.65277778,56.75,63.27777778,0.203446712,0.099340471,0.051761428,0.208839971
KLHL29,PH_hs_0032761,81.58333333,80.38888889,81.75,71.95833333,0.544996093,0.52371775,0.54794037,0.363883411
FLT1,PH_hs_0045726,39.375,38.61111111,41.58333333,37.19444444,0.201175935,0.172912083,0.279901422,0.118983161
C2orf91,PH_hs_0033818,54.16666667,56.13888889,57.91666667,49.61111111,0.248898885,0.300494083,0.345472145,0.122156842
TOP3B,PH_hs_0026888,66,63.5,70.36111111,70.38888889,-0.037754922,-0.093464355,0.054557319,0.055126766
MAP3K1,PH_hs_0022816,104.8333333,72.38888889,74.19444444,72.63888889,-0.288985243,-0.823242582,-0.78769969,-0.818268719
PLA1A,PH_hs_0001598,35.5,36.56944444,38.16666667,36.13888889,0.051715037,0.094534722,0.156209204,0.077448162
C17orf112,PH_hs_0008744,35.875,35.86111111,35.91666667,37.77777778,0.015159807,0.014601164,0.016834439,0.089718815
NIPAL3,PH_hs_0048561,328.9375,318.0555556,299.6388889,388.5555556,-0.042052507,-0.09058721,-0.176641119,0.198254893
PDE6A,PH_hs_0022687,45.70833333,43.5,44.47222222,45.08333333,0.074208248,0.002766434,0.03465553,0.054345222
MARVELD1,PH_hs_0012189,936.9791667,1178.819444,1185.222222,1405.027778,-0.59011779,-0.258863903,-0.251049085,-0.005608013
KAT7,PH_hs_0034507,413.2291667,328.375,366.2361111,424.8472222,-0.132568964,-0.464166755,-0.306737001,-0.092566918
C11orf97,PH_hs_0060137,47.91666667,41.69444444,44.77777778,44.58333333,0.328214358,0.127541973,0.23046974,0.224191293
PDK2,PH_hs_0005113,73.625,68.52777778,83.98611111,77.02777778,0.141427892,0.037921067,0.331382931,0.206610968
FUNDC2|FUNDC2P2,PH_hs_0029857,579.1458333,594.7361111,567.3611111,765.4444444,-0.394285708,-0.355962708,-0.423945117,0.008085288
AP3M1,PH_hs_0047995,68.70833333,75.02777778,71.20833333,90.97222222,-0.275520322,-0.148580582,-0.223959324,0.129420685
PPP4R1L,PH_hs_0046676,45.375,42.19444444,45.80555556,45.11111111,0.166947302,0.062102717,0.180572246,0.158532479
SYT6,PH_hs_0035425,47.5,41.83333333,46.58333333,50.77777778,0.232977172,0.049702617,0.204863536,0.329246917
TMEM18,PH_hs_0003187,182.2083333,166.6388889,172.4305556,204.9444444,0.028654931,-0.100208886,-0.050918561,0.198298871
GDE1,PH_hs_0005951,1217.8125,1686.347222,1626.472222,1951.444444,-0.218378033,0.251231561,0.199076124,0.461872332
WWP2,PH_hs_0045958,35.5,33.5,34.61111111,37.44444444,0.094464684,0.010806755,0.057880916,0.171397344
ANKRD7,PH_hs_0024194,39.29166667,39.91666667,38.88888889,42.83333333,-0.040726976,-0.017959091,-0.055592326,0.083783612
RAD21,PH_hs_0004675,7638,7671.805556,7563.888889,7387.027778,0.068711598,0.075082834,0.054644849,0.020510681
ECHDC2,PH_hs_0022820,490.0416667,454.7222222,479.3194444,530.4305556,-0.180666047,-0.288584959,-0.212583003,-0.066406585
ALDH1A1,PH_hs_0004409,82.75,81.38888889,76.11111111,93.44444444,-0.300558781,-0.32448624,-0.421211011,-0.125209199
SLC25A30,PH_hs_0022490,154.8541667,171.1111111,149.6944444,171.5833333,-0.128955794,0.015067448,-0.177845316,0.019043428
TMEM56,PH_hs_0004798,46.04166667,41.05555556,43.47222222,41.94444444,0.158545939,-0.006816662,0.075699726,0.024085619
NA,PH_hs_0031774,115.5833333,106.75,93.25,120.1388889,-0.194334341,-0.309031652,-0.504092092,-0.138564496
FAM63A,PH_hs_0060578,131.5,99.33333333,114.5,128.0138889,0.11608685,-0.28862612,-0.083628351,0.077324394
VSX1,PH_hs_0060494,81.66666667,60.91666667,56.11111111,75.38888889,0.013310454,-0.409599889,-0.528150409,-0.102084981
CSNK2B,PH_hs_0022181,5627.5,4867.444444,6065.944444,5933.208333,0.007110263,-0.202219377,0.115348396,0.083428552
DEFB105A|DEFB105B,PH_hs_0028298,36.66666667,36.02777778,34.91666667,35.88888889,0.046650093,0.021290643,-0.023903187,0.015718234
GPN1,PH_hs_0027089,698.7916667,697.25,655.0277778,862.4166667,-0.242370593,-0.245556967,-0.335676908,0.061152063
EIF5A2,PH_hs_0009926,143.5416667,145.375,114.9027778,161.6388889,0.071688128,0.089997743,-0.249367773,0.242992891
GADD45GIP1,PH_hs_0027173,2765.833333,2586.208333,2948.277778,3163.513889,-0.154005567,-0.250881294,-0.061847333,0.039808139
KCNJ15,PH_hs_0061186,62.66666667,51.11111111,42.58333333,58.11111111,0.568746915,0.274685613,0.011337544,0.459862699
DDX19A,PH_hs_0024969,182.6666667,147.8333333,163.7777778,184.6388889,-0.087462841,-0.39270463,-0.244936616,-0.071969786
TMEM191C|TMEM191B|TMEM191A,PH_hs_0062184,239.375,208.0555556,208.2222222,240.75,0.359452365,0.15714869,0.158303924,0.367715676
CARD8,PH_hs_0026073,187.0208333,151.2638889,158.8333333,183.9166667,0.095844067,-0.210287307,-0.139841209,0.071697302
GLYAT,PH_hs_0060590,35,34.55555556,34.02777778,35.97222222,0.074000581,0.055563333,0.033358597,0.113528946
TIAF1,PH_hs_0060498,51,46.22222222,45.33333333,57.41666667,0.23224828,0.090337655,0.062323279,0.40322061
TMEM164,PH_hs_0000565,659.6458333,646.5555556,765.5277778,884.0277778,-0.271982719,-0.300900022,-0.057219634,0.150417341
ACSM2B,PH_hs_0034949,42.95833333,38.94444444,36.13888889,39.75,0.369583681,0.228063197,0.12019781,0.25760052
KCNK15,PH_hs_0029814,237.4791667,185.4166667,149,189.8888889,1.283094286,0.92606426,0.610605661,0.96044882
NA,PH_hs_0061078,229.9166667,197.3472222,204.0138889,274.0694444,-0.393636532,-0.614011371,-0.566080212,-0.14020609
YPEL3,PH_hs_0013980,92.04166667,92.86111111,98.13888889,102.1111111,0.329458348,0.342245784,0.421996178,0.479239195
DPH1|OVCA2,PH_hs_0062200,1063.791667,1164.888889,1165.791667,1416.875,-0.281646099,-0.150669388,-0.149551746,0.131850746
DLC1,PH_hs_0060602,69.79166667,70.44444444,60.13888889,70.02777778,0.436149781,0.44958093,0.22139321,0.441022303
LOC101927844,PH_hs_0062641,33.75,35.19444444,35.27777778,37.5,-0.021216486,0.039243725,0.042655697,0.130786608
PTH2R,PH_hs_0009712,43.79166667,44.47222222,41.41666667,45.41666667,0.115706017,0.137954155,0.035261104,0.168271483
MYL6,PH_hs_0035463,30603.875,24024.27778,28811.75,20900.11111,-0.150483177,-0.499704451,-0.237540221,-0.7006869
FAM45A|FAM45B,PH_hs_0026788,357.5,442.6944444,444.9444444,512.2222222,-0.418564257,-0.11019623,-0.102882286,0.100262345
ENTPD3,PH_hs_0003342,68,62.45833333,60.47222222,74.33333333,0.0053138,-0.117326874,-0.163948351,0.133788358
TMEM139,PH_hs_0061090,72.29166667,79.80555556,66.55555556,70.11111111,0.138668128,0.281327957,0.019397873,0.094481875
N4BP1,PH_hs_0041169,114.8333333,94,88.08333333,109.4722222,-0.079434467,-0.368243288,-0.462034979,-0.148411107
ZNF292,PH_hs_0061194,311.7916667,253.0416667,249.5277778,312.3472222,-0.241408467,-0.542615873,-0.562790409,-0.238840137
